episode,reward,loss,epsilon,crops,covered,val_recall,val_crops,val_score
363,15.7,1.0889,0.7489,10,19,,,
364,2.65,1.0888,0.7479,12,7,,,
365,34.7,0.7789,0.7469,12,39,,,
366,1.35,0.938,0.7459,13,5,,,
367,35.55,1.0959,0.7449,12,42,,,
368,27.85,0.9227,0.7443,8,30,,,
369,2.95,0.9559,0.7439,6,5,,,
370,5.2,1.1083,0.7431,9,7,,,
371,36.15,1.1361,0.7424,9,42,,,
372,16.65,1.127,0.7417,8,19,,,
373,-0.2,1.3045,0.7413,5,1,,,
374,44.4,0.9367,0.7403,14,50,,,
375,0.4,1.057,0.7394,8,2,,,
376,29.5,1.0361,0.7389,7,33,,,
377,1.15,1.0348,0.7384,6,3,,,
378,-1.45,1.0983,0.7376,7,0,,,
379,29.2,1.1171,0.7366,14,35,,,
380,6.85,1.0471,0.7358,8,9,,,
381,5.05,1.175,0.7348,10,7,,,
382,-0.05,1.0209,0.7342,8,3,,,
383,5.05,1.0522,0.7332,14,9,,,
384,15.05,1.0646,0.7324,10,18,,,
385,-1.25,0.9995,0.7317,8,0,,,
386,4.1,1.0067,0.731,11,8,,,
387,0.8,1.0684,0.73,14,5,,,
388,121.15,1.067,0.729,12,127,,,
389,14.55,1.1746,0.7282,9,21,,,
390,22.05,1.0743,0.7276,9,26,,,
391,-1.5,1.0578,0.7266,14,2,,,
392,12.8,1.1261,0.726,8,16,,,
393,3.15,1.3247,0.7254,8,6,,,
394,5.3,1.2248,0.7244,10,7,,,
395,4.6,0.9758,0.7241,5,6,,,
396,58.4,1.2089,0.7231,10,62,,,
397,5.85,1.1801,0.7225,8,9,,,
398,4.45,0.9703,0.7218,9,9,,,
399,2.3,0.8838,0.721,10,4,,,
400,10.1,0.9549,0.7202,8,12,,,
401,15.6,1.2285,0.7196,8,18,,,
402,3.5,1.0593,0.7187,14,12,,,
403,0.8,1.1885,0.7181,8,4,,,
404,0.8,0.9397,0.7173,9,3,,,
405,73.4,1.1553,0.7165,11,82,,,
406,2.55,1.0849,0.7154,10,5,,,
407,3.6,0.9773,0.715,5,6,,,
408,10.3,0.9483,0.7144,8,13,,,
409,5.75,1.0282,0.7135,12,9,,,
410,25.25,0.8018,0.7131,6,29,,,
411,13.25,1.142,0.7121,14,18,,,
412,3.7,0.9636,0.7118,5,5,,,
413,-1.3,1.0212,0.7113,7,0,,,
414,29.45,1.2375,0.7103,13,37,,,
415,5.8,1.0051,0.7097,7,7,,,
416,6.2,0.9025,0.7093,5,8,,,
417,12.65,1.1044,0.7083,11,15,,,
418,-0.95,0.9516,0.7073,11,1,,,
419,20.75,1.1728,0.7065,9,24,,,
420,-1.5,0.9592,0.7058,9,1,,,
421,6.45,1.0359,0.705,9,10,,,
422,7.5,1.142,0.7042,8,13,,,
423,-0.55,1.461,0.704,3,0,,,
424,9.45,1.0579,0.7031,13,12,,,
425,7.45,1.3002,0.7028,3,8,,,
426,9.4,1.1486,0.7021,8,11,,,
427,16.05,1.2612,0.7013,10,23,,,
428,12.7,0.9666,0.7003,14,17,,,
429,4.7,1.3578,0.6999,5,6,,,
430,21.15,0.9981,0.6989,13,30,,,
431,-0.65,1.1307,0.6982,9,1,,,
432,19.3,1.0762,0.6975,8,23,,,
433,14.9,1.2504,0.6967,8,18,,,
434,20.1,1.1013,0.6964,5,23,,,
435,13.3,1.0991,0.6957,9,16,,,
436,-0.6,0.9203,0.6953,4,0,,,
437,-1.05,0.9673,0.6949,7,3,,,
438,9.45,1.0753,0.694,6,12,,,
439,3.0,1.0799,0.6936,5,4,,,
440,2.4,1.1679,0.6933,4,3,,,
441,4.75,1.1384,0.6926,9,8,,,
442,6.1,1.2796,0.6921,6,7,,,
443,0.35,1.2752,0.6917,4,1,,,
444,1.05,1.1136,0.6907,14,5,,,
445,19.65,1.3069,0.6903,6,22,,,
446,19.6,1.2365,0.6897,10,25,,,
447,2.0,0.9687,0.6887,12,4,,,
448,8.35,1.0451,0.6876,14,12,,,
449,1.1,1.1926,0.6873,3,2,,,
450,8.0,1.0457,0.6863,12,11,,,
451,0.15,1.2996,0.6858,3,1,,,
452,0.45,1.0134,0.6848,11,3,,,
453,5.95,1.1298,0.684,8,8,,,
454,-1.75,1.2607,0.683,11,0,,,
455,45.55,1.228,0.6825,7,49,,,
456,13.35,0.9922,0.6821,6,16,,,
457,0.2,1.1114,0.6811,13,3,,,
458,3.1,1.136,0.6802,12,5,,,
459,19.95,0.9466,0.6795,8,30,,,
460,32.2,1.1066,0.6785,12,40,,,
461,18.05,1.0153,0.678,8,21,,,
462,7.95,1.0511,0.6772,11,11,,,
463,8.45,1.0461,0.6766,8,10,,,
464,16.15,0.9581,0.6756,14,22,,,
465,4.2,1.1614,0.6747,8,8,,,
466,23.0,1.0623,0.6742,6,25,,,
467,30.3,1.1187,0.6732,14,38,,,
468,28.65,1.3572,0.6726,8,31,,,
469,-0.5,1.2097,0.6722,3,0,,,
470,-0.45,1.1329,0.6719,3,0,,,
471,20.5,1.0155,0.6712,9,25,,,
472,17.45,0.9827,0.6705,10,21,,,
473,-1.45,0.8446,0.6697,9,0,,,
474,2.3,0.9113,0.6691,7,4,,,
475,22.7,1.2204,0.6686,7,26,,,
476,0.5,1.1054,0.6676,12,3,,,
477,19.6,0.9456,0.6668,10,24,,,
478,-0.8,0.9956,0.6665,3,0,,,
479,3.3,1.286,0.6663,2,4,,,
480,58.05,0.8547,0.6656,10,66,,,
481,30.85,0.9418,0.6649,9,38,,,
482,8.2,1.0441,0.6639,12,15,,,
483,0.15,0.9956,0.6629,9,2,,,
