episode,reward,loss,epsilon,crops,captured,val_recall,val_crops,val_score
508,-1.5,0.9885,0.6455,3,0.0,,,
509,9.0,0.8045,0.6451,4,11.0,,,
510,8.0,1.0186,0.6441,12,14.0,,,
511,0.5,1.0149,0.6434,3,2.0,,,
512,-1.0,0.909,0.6424,8,3.0,,,
513,25.5,0.962,0.6419,5,28.0,,,
514,0.0,0.9816,0.6408,2,1.0,,,
515,16.5,0.91,0.6402,7,20.0,,,
516,10.0,1.0937,0.6395,6,13.0,,,
517,-3.0,0.8525,0.6389,6,0.0,,,
518,-1.5,1.0069,0.6381,5,1.0,,,
519,4.0,0.8234,0.637,8,8.0,,,
520,1.5,0.8956,0.6365,3,3.0,,,
521,10.0,1.1224,0.6355,6,13.0,,,
522,18.5,1.0306,0.635,5,21.0,,,
523,-1.0,0.8998,0.6345,2,0.0,,,
524,-1.0,0.9647,0.6338,8,3.0,,,
525,-1.5,0.9539,0.6332,3,0.0,,,
526,-2.5,0.9435,0.6322,7,1.0,,,
527,24.5,0.8481,0.6315,9,29.0,,,
528,3.0,1.0205,0.6313,2,4.0,,,
529,-2.0,0.9746,0.6303,4,0.0,,,
530,16.5,1.1193,0.6293,9,21.0,,,
531,25.5,0.9249,0.6285,11,31.0,,,
532,5.0,0.99,0.6275,6,8.0,,,
533,-1.0,0.964,0.6271,2,0.0,,,
534,-0.5,1.094,0.6263,7,3.0,,,
535,-2.0,1.0604,0.626,4,0.0,,,
536,3.5,0.9603,0.6252,5,6.0,,,
537,-2.0,0.9231,0.6244,4,0.0,,,
538,35.0,0.9539,0.6234,10,40.0,,,
539,5.5,1.0058,0.6229,5,8.0,,,
540,6.0,0.9859,0.6219,10,11.0,,,
541,7.5,1.088,0.6209,9,12.0,,,
542,5.5,0.8219,0.6201,9,10.0,,,
543,21.5,1.0637,0.6196,7,25.0,,,
544,16.5,1.0525,0.6185,7,20.0,,,
545,3.0,0.8869,0.6175,8,7.0,,,
546,0.0,0.8954,0.6171,4,2.0,,,
547,-3.0,0.8194,0.6161,6,0.0,,,
548,-2.0,0.7981,0.6158,4,0.0,,,
549,33.5,1.0712,0.615,7,37.0,,,
550,4.5,0.6256,0.6148,1,5.0,,,
